,0,1,pdf_names,year,language,authors,title
0,-15.824754,-20.533945,pdf_0.txt,2018,fr,"Claudia Marinica, Julien Longhi, Nader Hassine, Abdulhafiz Alkhouli, Boris Borzic",#Idéo2017 : une plateforme citoyenne dédiée à l'analyse des tweets lors des événements politiques
1,-24.839548,-30.184065,pdf_1.txt,2018,fr,"Marius Barctus, Marc Boullé, Fabrice Clérot",A two level co-clustering algorithm for very large data sets
2,13.690327,2.8614407,pdf_2.txt,2018,fr,"Jean-Benoît Griesner, Talel Abdesssalem, Hubert Naacke, Pierre Dosne",ALGeoSPF: Un modèle de factorisation basé sur du clustering géographique pour la recommandation de POI
3,7.46088,14.135939,pdf_3.txt,2018,fr,"Abdeljalil Elouardighi, Mohcine Maghfour, Hafdalla Hammia, Fatima-Zahra Aazi",Analyse des sentiments à partir des commentaires Facebook publiés en Arabe standard ou dialectal marocain par une approche d'apprentissage automatique
4,19.648691,-11.198748,pdf_4.txt,2018,fr,"Elyase Lassouli, Yasmine Mesbahi, Camille Pradel, Damien Sileo",Analyse en rôles sémantiques pour le résumé automatique
5,7.584958,-27.370274,pdf_5.txt,2018,fr,"Marwan Batrouni, Aurélie Bertaux, Christophe Nicolle",Analyse Ontologique de scénario dans un contexte Big Data
6,-14.087648,-1.0163455,pdf_6.txt,2018,fr,"Romain Billot, Sofian Berrouiguet, Mark Larsen, Michel Walter, Jorge López Castroman, Enrique Baca-García, Philippe Courtet, Philippe Lenca",Apport de la fouille de données pour la prévention du risque suicidaire
7,24.433727,22.505241,pdf_7.txt,2018,fr,"Vincent Lemaire, Oumaima Alaoui Ismaili",Apport des modèles locaux pour les K-moyennes prédictives
8,24.917782,0.35836723,pdf_8.txt,2018,fr,"Khalil Laghmari, Christophe Marsala, Mohammed Ramdani",Apprendre les relations de préférence et de co-occurrence entre les labels en classification multi-labels
9,10.523865,11.982894,pdf_9.txt,2018,fr,"Emmanuelle Claeys, Pierre Gançarski, Myriam Maumy-Bertrand",Approche contextuelle par régression pour les tests A/B
10,-25.162153,-28.317293,pdf_10.txt,2018,fr,Fosca Giannotti,Big Data for understanding human dynamics: the power of networks
11,17.53677,13.284892,pdf_11.txt,2018,fr,"Denis Maurel, Jérémie Sublime, Sylvain Lefebvre",Cartes Auto-Organisatrices Incrémentales appliquées au Clustering Collaboratif
12,-2.4356656,-10.603398,pdf_12.txt,2018,fr,"Bastien Latard, Jonathan Weber, Germain Forestier, Michel Hassenforder",Catégorisation d'articles scientifiques basée sur les relations sémantiques des mots-clés
13,22.686386,19.734596,pdf_13.txt,2018,fr,"Étienne-Cuvelier, Marie-Aude-Aufaure",Classification de Données Complexes par Globalisation de Mesures de Similarité via les Moyennes Quasi-Arithmétiques
14,-31.867086,-27.128782,pdf_14.txt,2018,fr,Santo Fortunato,Community structure in complex networks
15,1.8234011,3.284464,pdf_15.txt,2018,fr,"Marwan Ghanem, Clémence Magnien, Fabien Tarissan",Comparaison de mesures de centralité basées sur les plus courts chemins dans les réseaux dynamiques
16,19.664349,-10.637945,pdf_16.txt,2018,fr,"Julien Hay, Tim Van de Cruys, Philippe Muller, Bich-Liên Doan, Fabrice Popineau, Lyes Benamsili",Complémentarités de représentations vectorielles pour la similarité sémantique
17,14.581019,-3.5343337,pdf_17.txt,2018,fr,"Badre Belabbess, Jérémy Lhez, Musab Bairat, Olivier Curé",Contextualisation de Singularités en Temps-Réel par Extraction de Connaissances du Web des Données
18,4.9358754,-19.7647,pdf_18.txt,2018,fr,"Philippe Martin, Jun Jo",Contraintes prescriptives compatibles avec OWL2-ER pour évaluer la complétude d'ontologies
19,20.395996,-28.291826,pdf_19.txt,2018,fr,"Alain Gély, Miguel Couceiro, Yassine Namir, Amedeo Napoli",Contribution à l'étude de la distributivité d'un treillis de concepts
20,-7.618174,41.557613,pdf_20.txt,2018,fr,"Simon Ser, Fatiha Saïs, Maguelonne Teisseire",Découverte de motifs graduels partiellement ordonnés : application aux données d'expériences scientifiques
21,-12.823591,21.605972,pdf_21.txt,2018,fr,"Justine Reynaud, Esther Galbrun, Mehwish Alam, Yannick Toussaint, Amedeo Napoli",Définir les catégories de DBpédia avec des règles d'associations et des redescriptions
22,14.487471,-3.4460292,pdf_22.txt,2018,fr,"Badre Belabbess, Musab Bairat, Jérémy Lhez, Olivier Curé",Détection de Singularités en temps-réel par combinaison d'apprentissage automatique et web sémantique basés sur Spark
